Bot_L,Bot_R,Timer,ActInterval,Round,SkillLeft,SkillRight,Games,Winner_L,Winner_R,ActionCounts_L,ActionCounts_R,TotalActions,Duration_L,Duration_R,Collisions_L,Collisions_R,Collisions_Tie,MatchDur,Accelerate_Dur_L,TurnLeft_Dur_L,TurnRight_Dur_L,Dash_Dur_L,SkillBoost_Dur_L,SkillStone_Dur_L,Accelerate_Dur_R,TurnLeft_Dur_R,TurnRight_Dur_R,Dash_Dur_R,SkillBoost_Dur_R,SkillStone_Dur_R,Accelerate_Act_L,TurnLeft_Act_L,TurnRight_Act_L,Dash_Act_L,SkillBoost_Act_L,SkillStone_Act_L,Accelerate_Act_R,TurnLeft_Act_R,TurnRight_Act_R,Dash_Act_R,SkillBoost_Act_R,SkillStone_Act_R,WinRate_L,WinRate_R,Rank_L,Rank_R
Bot_BT,Bot_NN,60.0,0.2,BestOf3,Boost,Stone,10,0,10,808,452,1260,42.424442665,99.77236053199998,73,10,0,9.500203873,9.449868272,17.806949226,14.914688016999998,0.20398695,0.048950200000000166,0.0,24.494199504999997,18.261358121999997,27.797159684999997,27.433677219999993,0.0,1.7859659999999984,412,118,274,3,1,0,99,146,177,28,0,2,0.0,1.0,3,1
Bot_BT,Bot_NN,60.0,0.2,BestOf1,Boost,Stone,10,5,5,583,429,1012,38.725238073400064,277.903578277,49,9,2,29.89017394,12.681422481000007,11.996884472400012,12.114447400000008,1.0293530200000176,0.9031307000000162,0.0,48.10905688600001,57.365182545000025,63.106538066,94.89166278,0.0,14.431138000000004,272,61,227,13,10,0,116,77,183,40,0,13,0.5,0.5,3,1
Bot_BT,Bot_NN,60.0,0.2,BestOf1,Boost,Boost,10,0,10,265,146,411,21.2213358777,22.277356077999993,33,9,0,5.974054178,5.541632615999997,9.555146340699999,6.124556920999999,0.0,0.0,0.0,6.627786000999998,8.331242865999997,6.276170580999998,1.0421566299999983,0.0,0.0,138,27,100,0,0,0,42,39,52,13,0,0,0.0,1.0,3,1
Bot_BT,Bot_NN,60.0,0.2,BestOf3,Stone,Boost,10,0,10,763,430,1193,46.2128003055,58.02968945499998,78,16,0,9.226226289000001,11.637523788999998,19.2795197325,14.777719273999999,0.5180375100000001,0.0,0.0,12.903210272999997,16.333148488999992,15.470342913000001,12.749371579999995,0.5736161999999982,0.0,389,70,297,7,0,0,100,102,191,34,3,0,0.0,1.0,3,1
Bot_BT,Bot_NN,60.0,0.2,BestOf3,Boost,Boost,10,8,1,2483,1439,3922,66.1527236426,511.511441815,50,58,40,23.31310558,22.276292471199998,26.491748446400006,17.042595625,0.2924073000000007,0.04967979999999983,0.0,147.21215391,92.196687428,24.531327037000008,189.68325624,57.88801720000001,0.0,925,547,1003,6,2,0,214,402,731,69,23,0,0.8,0.1,3,1
Bot_BT,Bot_NN,60.0,0.2,BestOf1,Stone,Boost,10,3,7,407,259,666,30.312619183900022,108.16609701200001,31,12,2,19.137833527999994,8.744737802000005,12.2937606849,8.686842937000002,0.4071629600000062,0.0,0.18011480000000546,23.15376915500001,26.943943973000003,20.477907593999998,29.850407589999993,7.740068699999998,0.0,199,54,150,3,0,1,52,55,125,20,7,0,0.3,0.7,3,1
Bot_BT,Bot_NN,60.0,0.2,BestOf1,Stone,Stone,10,2,8,526,376,902,139.37760702399996,199.68678724799997,44,18,2,24.66792735,37.84674387599998,26.460382525999986,33.193569421999996,21.960646000000004,0.0,19.916265200000005,22.440335400999988,48.91230363599999,48.28255259100001,58.530958819999995,0.0,21.520636800000002,265,50,183,20,0,8,113,61,154,37,0,11,0.2,0.8,3,1
Bot_BT,Bot_Primitive,45.0,0.1,BestOf3,Stone,Boost,10,8,2,2337,2665,5002,113.40261389530004,102.450339658,65,80,46,23.24641886,30.456784731999996,38.320532209300005,35.16665430399999,7.054548250000021,0.0,2.4040944000000053,16.364706688,18.183847160000003,14.443487690000003,12.923488320000004,40.534809800000005,0.0,866,570,835,55,0,11,1453,418,696,71,27,0,0.8,0.2,3,2
Bot_BT,Bot_Primitive,45.0,0.1,BestOf1,Boost,Boost,10,4,5,2585,4586,7171,57.25968106140001,82.276329243,7,11,18,34.34634709,35.077275354,12.924103366400002,8.850616251000007,0.40768608999999945,0.0,0.0,2.1284198030000026,6.604530379999999,0.5777930000000051,42.40051786,30.565068199999995,0.0,287,123,2163,10,2,0,2340,101,2128,11,6,0,0.4,0.5,3,2
Bot_BT,Bot_Primitive,45.0,0.1,BestOf1,Boost,Stone,10,1,8,2339,3044,5383,65.47315823000004,59.47890357600003,34,25,20,20.791684648,8.461182596000016,10.526722332000002,9.784900722000014,36.54118338000001,0.1591692000000009,0.0,8.852844886000014,3.85650445,4.622141190000016,41.786130650000004,0.0,0.36128240000000034,803,200,1321,14,1,0,1572,145,1292,34,0,1,0.1,0.8,3,2
