Bot,Timer,ActInterval,Round,TimeBin,Action,MeanCount
Bot_BT,45.0,0.1,BestOf3,35.0,SkillStone,0.8
Bot_BT,45.0,0.1,BestOf3,35.0,TurnLeft,2.185185185185185
Bot_BT,45.0,0.1,BestOf3,35.0,TurnRight,6.833333333333333
Bot_BT,45.0,0.1,BestOf3,40.0,Accelerate,5.375
Bot_BT,45.0,0.1,BestOf3,40.0,Dash,0.8
Bot_BT,45.0,0.1,BestOf3,40.0,SkillBoost,0.7142857142857143
Bot_BT,45.0,0.1,BestOf3,40.0,SkillStone,0.15789473684210525
Bot_BT,45.0,0.1,BestOf3,40.0,TurnLeft,1.25
Bot_BT,45.0,0.1,BestOf3,40.0,TurnRight,3.875
Bot_BT,45.0,0.1,BestOf3,45.0,Accelerate,0.8571428571428571
Bot_BT,45.0,0.1,BestOf3,45.0,Dash,0.0
Bot_BT,45.0,0.1,BestOf3,45.0,SkillBoost,0.0
Bot_BT,45.0,0.1,BestOf3,45.0,SkillStone,0.0
Bot_BT,45.0,0.1,BestOf3,45.0,TurnLeft,0.35714285714285715
Bot_BT,45.0,0.1,BestOf3,45.0,TurnRight,0.42857142857142855
Bot_BT,45.0,0.1,BestOf3,50.0,Accelerate,1.0
Bot_BT,45.0,0.1,BestOf3,50.0,Dash,0.0
Bot_BT,45.0,0.1,BestOf3,50.0,SkillBoost,0.0
Bot_BT,45.0,0.1,BestOf3,50.0,TurnLeft,0.0
Bot_BT,45.0,0.1,BestOf3,50.0,TurnRight,1.0
Bot_BT,45.0,0.2,BestOf1,0.0,Accelerate,8.4125
Bot_BT,45.0,0.2,BestOf1,0.0,Dash,0.43859649122807015
Bot_BT,45.0,0.2,BestOf1,0.0,SkillBoost,0.0
Bot_BT,45.0,0.2,BestOf1,0.0,SkillStone,0.0
Bot_BT,45.0,0.2,BestOf1,0.0,TurnLeft,2.7666666666666666
Bot_BT,45.0,0.2,BestOf1,0.0,TurnRight,4.7280334728033475
Bot_BT,45.0,0.2,BestOf1,5.0,Accelerate,10.38961038961039
Bot_BT,45.0,0.2,BestOf1,5.0,Dash,0.24778761061946902
Bot_BT,45.0,0.2,BestOf1,5.0,SkillBoost,0.0
